molecule,SMILES,precursor_scscore,scscore,anode_limit,element_friendliness,capacity(mAh/g),total_score
41,[Li]n1c(=O)n([Li])c2cc(C)c(C)cc21,0.5954237539405853,0.5615930534316967,1.0,0.18181818181818202,0.6617738075299846,3.0006087967204484
193,[Li]n1c(=S)n([Li])c2cc(O)ccc21,0.5625445388521537,0.5369838631432043,1.0,0.3193277310924371,0.5748132088788918,2.993669341966687
1,[Li]n1c(=S)c(=S)n([Li])c2ccccc21,0.7869984596248106,0.7989753975624334,1.0,0.2857142857142859,0.06107052783983476,2.932758670741365
91,[Li]n1c(=O)n([Li])c2cc(O)c(O)cc21,0.46429947949808664,0.5570418285495657,1.0,0.2857142857142859,0.5762752903011458,2.883330884063084
14,[Li]n1c(=S)n([Li])c2cc(OC)ccc21,0.6156210561577793,0.7030108649794918,1.0,0.22857142857142884,0.29939712183014566,2.8466004715388458
283,[Li]n1c(=O)n([Li])c2c(F)cc(C)cc21,0.3062527161595822,0.3635355025881278,1.0,0.5263157894736841,0.5758725750932341,2.771976583314628
507,[Li]n1c(=O)n([Li])c2cc(OC)c(F)cc21,0.592310162772856,0.4208630355601113,1.0,0.4857142857142858,0.26476137253011034,2.763648856577363
16,[Li]n1c(=S)n([Li])c2cc(C)c(C)cc21,0.7355014868569836,0.507196770673835,1.0,0.18181818181818202,0.33566173954515516,2.760178178894156
24,[Li]n1c(=O)n([Li])c2cc(Cl)ccc21,0.567053812439622,0.6068158763916389,1.0,0.035714285714286004,0.5251076775319049,2.7346916520774522
310,[Li]N1c2cccc(F)c2N([Li])S1(=O)=O,0.5964351337629175,0.32143326672496014,1.0,0.6218487394957983,0.16043287655706634,2.700150016540742
284,[Li]n1c(=O)n([Li])c2c(C)cc(F)cc21,0.17298508879121366,0.35875826160030605,1.0,0.5263157894736841,0.5758725750932349,2.6339317149584387
97,[Li]n1c(=O)n([Li])c2c(C)c(C)ccc21,0.4391526145619572,0.3480743539222496,1.0,0.18181818181818202,0.6617738075299846,2.6308189578323735
233,[Li]n1c(=O)n([Li])c2cc(CF)ccc21,0.20627950581133558,0.3209826576226164,1.0,0.5263157894736841,0.5758725750932349,2.629450528000871
226,[Li]n1c(=O)n([Li])c2c(C)c(F)ccc21,0.2736766115198969,0.2360526476884309,1.0,0.5263157894736841,0.5758725750932349,2.6119176237752466
578,[Li]n1c(=S)n([Li])c2c(F)cc(C)cc21,0.3231887759146681,0.4312544690646358,1.0,0.5263157894736841,0.2635307008247797,2.5442897352777676
30,[Li]n1c(=O)c(=O)n([Li])c2ccccc21,0.7202504433405983,0.8513542058890021,0.0,0.2857142857142859,0.6627495046994248,2.5200684396433113
205,[Li]n1c(=O)n([Li])c2c(CF)cccc21,0.23250787732699443,0.14956849899431476,1.0,0.5263157894736841,0.5758725750932341,2.4842647408882277
77,[Li]n1c(=O)n([Li])c2cc(Cl)c(F)cc21,0.5592693102544055,0.3584662034650758,1.0,0.3571428571428573,0.18767261976540603,2.462550990627745
49,[Li]n1c(=S)n([Li])c2cc(F)c(F)cc21,0.6523389351401837,0.5958730962123359,0.0,1.0,0.19428633132712242,2.442498362679642
184,[Li]n1c(=S)n([Li])c2cc(OC)c(F)cc21,0.5563001083541791,0.3768685023152253,1.0,0.4857142857142858,3.5607045094140994e-16,2.418882896383691
276,[Li]n1c(=O)n([Li])c2c(F)cc(S)cc21,0.2131877533305561,0.3442321812574933,1.0,0.6218487394957983,0.22872460412293003,2.407993278206778
151,[2H]c1c([2H])c([2H])c2c(c1[2H])n([Li])c(=S)n2[Li],0.553640353671607,0.6488978756412268,0.0,0.3571428571428573,0.8467374148920754,2.4064185013477664
174,[Li]n1c(=O)n([Li])c2c(O)c(O)ccc21,0.12447551815960917,0.4180009482667381,1.0,0.2857142857142859,0.5762752903011458,2.4044660424417788
68,[Li]N1C(=O)C(C(=O)O)N([Li])c2ccccc21,0.4630303626822105,0.631565308890823,1.0,0.18181818181818202,0.09476233831326786,2.3711761917044836
120,[Li]n1c(=S)n([Li])c2cc(F)ccc21,0.5609934829836497,0.5946367206794819,0.0,0.6785714285714287,0.533107400791542,2.3673090330261024
559,[Li]n1c(=S)n([Li])c2c(F)cc(OC)cc21,0.33910560458893313,0.5044656921816096,1.0,0.4857142857142858,3.5607045094140994e-16,2.329285582484829
57,[Li]n1c(=O)c(=O)n([Li])c2cc(O)c(O)cc21,0.4658831502135576,0.5667019576225133,1.0,0.22857142857142884,0.06325297519564214,2.324409511603142
257,[Li]n1c2cc(F)c(C)c(F)c2n1[Li],0.3607671113750255,0.2221327720478048,0.0,0.9243697478991595,0.8008946713384161,2.3081643026604057
121,[Li]n1c(=S)n([Li])c2c(F)cccc21,0.5824174312148896,0.48197836454655313,0.0,0.6785714285714287,0.533107400791542,2.2760746251244135
