Molecule,Cluster,data,Cluster_center,Distance_to_center
360,8,[-0.3713808403875777  0.1402895084462044 -1.2074537186673038 -0.336683145046022  -0.1457726743482582 -0.1584992030568529],[-0.2072538130265835  0.0132884858134406 -0.6015257863188352 -0.1686197451880603  0.0739059383068204 -0.0065723278441814],0.7140037637869834
361,8,[-0.1874899082728646  0.1401292365515108 -0.377539520581222  -0.0070540091126302  0.3080792786206085 -0.0317397406372482],[-0.2072538130265835  0.0132884858134406 -0.6015257863188352 -0.1686197451880603  0.0739059383068204 -0.0065723278441814],0.3849974990464242
362,5,[-0.3313488210425529  0.7046201800987968 -0.1594685352747373  0.5023942965880608  0.0997219454527936 -0.0136148119709925],[-0.1723757427428502  0.762894166472294  -0.2151388624847023  0.2893620945322307  0.0879378683088307  0.0428423571746734],0.283683764037422
363,0,[-0.6299712091019289 -0.1947611353175895  0.6452131995907189  0.3975941443510133  0.2294366007891887  0.1958338947861912],[-0.4800995273776051 -0.0347354484496296  0.3389326096056138  0.0402329713155894 -0.0395605428413141  0.0068416061402701],0.6145421854391365
364,3,[-0.1112298873996127  0.3961288887202228  0.4761973723062542 -0.0937150498901009  0.1799727404031042 -0.2884272637189501],[-0.1805278618656835  0.3700275025803318  0.2205971826750172 -0.2147626700768268  0.0611885440545909 -0.1351215955271372],0.3508272910105747
365,2,[-0.1265438038914577  0.5181390795412132 -0.2730876655620681 -0.3850751430399995 -0.1787457258071497  0.0965442611157741],[-0.3131634177773258  0.2059485104194073 -0.0513225718578879 -0.1428040027980441 -0.1984517697672429  0.0684714651178523],0.49126500380035887
366,8,[-0.2585324019838113  0.136641280647624  -0.4898241677897835 -0.1694090990449661  0.2116164523449276 -0.1228104533288381],[-0.2072538130265835  0.0132884858134406 -0.6015257863188352 -0.1686197451880603  0.0739059383068204 -0.0065723278441814],0.2505968232703603
367,0,[-0.277764561100091  -0.1848861152446198  0.5726884945786107 -0.3715902863266367  0.0632189671718056 -0.0846349401050318],[-0.4800995273776051 -0.0347354484496296  0.3389326096056138  0.0402329713155894 -0.0395605428413141  0.0068416061402701],0.5537657056947216
368,11,[-0.3077712064418342 -0.6435646512121957  0.1700764073503786 -0.3111669167857901  0.2272583805001538  0.0937496554059077],[-0.3925483810268006 -0.5577221881150141  0.2101125951811516 -0.475015361417741   0.6394530459503553 -0.0207618674442524],0.4754183820979134
369,1,[ 0.3280271194183285  0.211054244405219   0.0979965192727704 -0.2005819439458459 -0.0714575947365819  0.1646093154165908],[ 0.4045635053699478  0.1633122351693821  0.0620768454071855 -0.171515005959498  -0.0463642443932943  0.0173034384598071],0.18055726319475554
370,6,[ 0.0420989675640058  0.0314672212050329  0.1509632649308738  0.2564088381002427 -0.0643503111925182 -0.3780379136462183],[ 0.0589208866864511 -0.1397863819120101  0.2121108171414704  0.0395683673362916 -0.1371684035781138 -0.0072239614691663],0.4724140643057248
371,5,[ 0.0309741983093373  0.6672933353708697 -0.158297927454015   0.595190334077706   0.1122908987669294 -0.1969687284194105],[-0.1723757427428502  0.762894166472294  -0.2151388624847023  0.2893620945322307  0.0879378683088307  0.0428423571746734],0.453161062204339
372,9,[ 0.8182758968236739 -0.2654049033062398 -0.5051777961329437 -0.2156090444116754 -0.065926957033602  -0.0776994844658312],[ 1.0249375702805263 -0.2630914415323961  0.0443537806600736  0.0235291378518894 -0.0220821830208652 -0.0204219761996998],0.6380356578214983
373,11,[ 0.0375185541235645 -0.5483706870559895  0.0402266145377821 -0.5347652655616312  0.5557607191491166 -0.0895491676491774],[-0.3925483810268006 -0.5577221881150141  0.2101125951811516 -0.475015361417741   0.6394530459503553 -0.0207618674442524],0.4787613340495831
374,5,[-0.0388864511937278  0.6751077960668983 -0.822514900288962   0.6082670615756065 -0.2026597346914585 -0.7086514313924539],[-0.1723757427428502  0.762894166472294  -0.2151388624847023  0.2893620945322307  0.0879378683088307  0.0428423571746734],1.0701970604591782
375,1,[ 0.6428004930058233 -0.0021286224259578  0.0748335022882769 -0.0544315307008854 -0.0815145416866151  0.027597379535429 ],[ 0.4045635053699478  0.1633122351693821  0.0620768454071855 -0.171515005959498  -0.0463642443932943  0.0173034384598071],0.3151829956323645
376,1,[ 0.4029314101238357 -0.1046427998988753  0.0419015463118018 -0.0080637098270417 -0.1222488655410614 -0.0902081722246715],[ 0.4045635053699478  0.1633122351693821  0.0620768454071855 -0.171515005959498  -0.0463642443932943  0.0173034384598071],0.3409445051808324
377,1,[ 0.4931563188102046 -0.0137138484256235  0.373697950698138   0.0959723921854697  0.1051105964227454 -0.0956480335367914],[ 0.4045635053699478  0.1633122351693821  0.0620768454071855 -0.171515005959498  -0.0463642443932943  0.0173034384598071],0.49350461469150253
378,4,[ 0.6889516490015783 -0.7175243107545077 -0.0433085020719102  0.1341220983831942  0.1514007377184235  0.0574242800211632],[ 0.2318913624834497 -0.502880669440364  -0.2459859001618044  0.0327194305053757  0.0956359846867003  0.0455251660129424],0.5564062577045005
379,9,[ 0.6964658003479138 -0.4557232546193925  0.1337095687686524 -0.2322199111995085 -0.1420520448642735 -0.2310109676708185],[ 1.0249375702805263 -0.2630914415323961  0.0443537806600736  0.0235291378518894 -0.0220821830208652 -0.0204219761996998],0.5264344622976307
380,9,[ 0.6827331858624135 -0.3912709325236587  0.3102628505281172  0.2636986532611857 -0.0585920387146289 -0.0160306414009117],[ 1.0249375702805263 -0.2630914415323961  0.0443537806600736  0.0235291378518894 -0.0220821830208652 -0.0204219761996998],0.5131034063226219
381,9,[ 1.2672565559275106 -0.3006578553917012  0.1202271021117881  0.123088976922695  -0.1506582684476367 -0.0354502000515071],[ 1.0249375702805263 -0.2630914415323961  0.0443537806600736  0.0235291378518894 -0.0220821830208652 -0.0204219761996998],0.30423067888522415
382,9,[ 1.2772110110201726 -0.2898008921870702  0.1142973130046416  0.1170124136906568 -0.1486190049872797 -0.0339204452541754],[ 1.0249375702805263 -0.2630914415323961  0.0443537806600736  0.0235291378518894 -0.0220821830208652 -0.0204219761996998],0.3068880581180241
383,9,[ 1.151981916822986  -0.0439787250608513  0.176706040186682  -0.0875464286721696  0.0136382646107787 -0.0502633297719369],[ 1.0249375702805263 -0.2630914415323961  0.0443537806600736  0.0235291378518894 -0.0220821830208652 -0.0204219761996998],0.3101161191399244
384,4,[ 0.351140752677721  -0.8740242479229479 -0.5731933171822606 -0.2752459875422205  0.286721385027458  -0.2414971578363419],[ 0.2318913624834497 -0.502880669440364  -0.2459859001618044  0.0327194305053757  0.0956359846867003  0.0455251660129424],0.6875833113072364
385,5,[-0.4580806653744582  0.7986134149538259 -0.4282702887099086  0.605274672769962   0.1266621087741979 -0.1394630092148005],[-0.1723757427428502  0.762894166472294  -0.2151388624847023  0.2893620945322307  0.0879378683088307  0.0428423571746734],0.5127023921103154
386,8,[-0.2496423959661385  0.2036617943335155 -0.9324816234985328 -0.3835408129935591 -0.0016235580499698 -0.0482659544726938],[-0.2072538130265835  0.0132884858134406 -0.6015257863188352 -0.1686197451880603  0.0739059383068204 -0.0065723278441814],0.4485584504073261
387,8,[-0.1565767012240071  0.2322943398036484 -0.6401639043603975 -0.4101987237711928  0.1384384509621214  0.0709357412110672],[-0.2072538130265835  0.0132884858134406 -0.6015257863188352 -0.1686197451880603  0.0739059383068204 -0.0065723278441814],0.34721317192752654
388,7,[-0.6443145822523009 -0.274028786063823  -0.2120592542801361 -0.5043691165779284  0.0749815295125061 -0.0730235385158884],[-0.6045306406434975 -0.4361136403049469 -0.2273370402557333  0.1603867833461044  0.0683952005116491 -0.0124250301664179],0.6882613153129518
389,6,[ 0.1410275732096721  0.1440034472763754  0.4274281195902302  0.0574046425098284  0.1569417174623429 -0.1185647207333806],[ 0.0589208866864511 -0.1397863819120101  0.2121108171414704  0.0395683673362916 -0.1371684035781138 -0.0072239614691663],0.4825509056466853
390,6,[ 0.1328796638242399 -0.1481854224619651  0.2646280059466986 -0.3538178143888445 -0.0437820755686763 -0.3158985285883989],[ 0.0589208866864511 -0.1397863819120101  0.2121108171414704  0.0395683673362916 -0.1371684035781138 -0.0072239614691663],0.5167709186240017
391,11,[-0.2083262339724403 -0.3259436241009675 -0.0039834690377214 -0.4392611128990494  0.2142779148979637 -0.1486393484395679],[-0.3925483810268006 -0.5577221881150141  0.2101125951811516 -0.475015361417741   0.6394530459503553 -0.0207618674442524],0.5761086142508248
