NumAtoms,NumHeavyAtoms,NumHeteroatoms,NumRotatableBonds,RingCount,NumAromaticRings,NumAromaticCarbocycles,NumHAcceptors,MolWt,HeavyAtomMolWt,TPSA,Asphericity,Eccentricity,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex
16.0,16.0,4.0,0.0,3.0,1.0,1.0,2.0,200.13999999999993,186.02799999999996,6.48,0.37224013555399943,0.9578339145539928,0.2873224532301197,0.8846479154734538,387.2520517363168,1192.3249174577154,1347.7959949971694,2.704313793056213,0.30739131991958757
14.0,14.0,6.0,0.0,2.0,1.0,1.0,2.0,194.476,189.43599999999998,23.550000000000004,0.4868295413660389,0.9759510292646385,0.21798988159383156,0.7956713849731715,334.25839401343194,1220.055891397398,1533.3665561424407,2.817527717055482,0.06506704905155808
15.0,15.0,6.0,0.0,2.0,1.0,1.0,2.0,188.04100000000003,181.993,40.620000000000005,0.25305728894377794,0.9079561338158872,0.419065220539842,0.6156710844204124,518.1448732528623,761.234290909469,1236.4301494296888,2.586411284307395,0.09147144643914833
15.0,15.0,6.0,1.0,2.0,2.0,1.0,4.0,188.041,181.99299999999997,44.0,0.5158003990152312,0.9793435876008509,0.20220320824629462,0.7998561206617583,310.3436589841517,1227.6277775211217,1534.8107563463388,2.858410607189004,0.023642032583826092
14.0,14.0,5.0,0.0,2.0,2.0,1.0,3.0,174.058,165.99399999999997,26.93,0.42772178183697424,0.9667035644452056,0.2558988442508768,0.7495287408216956,308.9021933231031,904.7757627679563,1207.1261760770722,2.637046777721406,0.050623529996465334
14.0,14.0,5.0,0.0,2.0,1.0,1.0,2.0,174.05800000000002,165.994,23.550000000000004,0.2960621515241435,0.9326011124743149,0.36090880428672045,0.6736257445907541,387.55188124694536,723.3542697537536,1073.822186224802,2.5051672674057928,0.1097834236039782
14.0,14.0,5.0,0.0,2.0,1.0,1.0,2.0,174.05800000000002,165.994,23.550000000000004,0.3063990790851805,0.9351174779238998,0.3543378366492135,0.6663686419926045,382.2104299098416,718.785912176156,1078.6610696848086,2.50225823375633,0.0834160921122322
13.0,13.0,4.0,0.0,2.0,1.0,1.0,2.0,160.075,149.99499999999998,6.48,0.3100646609811392,0.9389451679503922,0.344066812672495,0.6984361642637823,330.6387150764713,671.1778858338491,960.9724126203203,2.4760536818035694,0.10767063144820975
13.0,13.0,4.0,0.0,2.0,1.0,1.0,2.0,160.075,149.99499999999998,6.48,0.24915599803679342,0.9053542880195906,0.42465705359094197,0.6119063074462009,379.5053118230389,546.8452532465084,893.6748103296636,2.384305872670966,0.12226814645648701
13.0,13.0,5.0,0.0,2.0,2.0,1.0,3.0,160.031,153.98299999999998,26.93,0.29379744996784835,0.9262340182383031,0.37694899317829045,0.6269155066177696,337.2372114453862,560.8696165522068,894.6494553598097,2.366701953743368,0.036939175574648674
