molecule,SMILES,precursor_scscore,scscore,anode_limit,element_friendliness,capacity(mAh/g),total_score
195,[Li]N1c2ccccc2N([Li])C1CF,0.6494319632877356,0.6140998609353195,0.3087397811797477,0.41034482758620705,0.47471995428642544,2.457336387275435
247,[Li]N1CCN([Li])c2cc(F)ccc21,0.5960920401270892,0.6754227486765968,0.23657901092062272,0.41034482758620705,0.47471995428642544,2.393158581596941
262,[Li]N1CN([Li])c2c(F)cccc21,0.4890742535648539,0.37534451849247913,0.28651261940255773,0.5253549695740365,0.6772525720361182,2.3535389330700456
383,[2H]C1C([2H])N([Li])c2ccccc2N1[Li],0.5942959224830557,0.6239362926838932,0.23293938525377492,0.19310344827586212,0.7084593016285196,2.3527343503251053
291,[Li]N1C=CN([Li])c2cc(F)ccc21,0.6184965462341013,0.701991505333009,0.002831562753256141,0.4827586206896552,0.5016706402874288,2.3077488752974507
13,[Li]N1c2ccccc2N([Li])c2ccccc21,0.8663834215164247,1.0,0.14403240942291667,0.1206896551724138,0.13933163584941582,2.2704371219611708
248,[Li]N1CCN([Li])c2c(F)cccc21,0.5203222808264903,0.3651982727228428,0.3620832146027556,0.41034482758620705,0.47471995428642544,2.132668550024721
56,[Li]n1c(=O)c(=O)n([Li])c2c(Cl)cccc21,0.6160976131654506,0.521597870180445,0.970645673185796,0.0,0.013167604608774837,2.1215087611404666
44,[Li]N1CCN([Li])c2cc(C)ccc21,0.5353755213869236,0.6185344951187275,0.21810971772932808,0.13643178410794604,0.5283432925506978,2.036794810893623
307,[Li]N1CN([Li])c2cc(F)c(C)cc21,0.4218925992397803,0.5143341156803972,0.1639302274860889,0.41034482758620705,0.47471995428642505,1.9852217242788985
331,[Li]N1c2cccc(F)c2N([Li])C1C,0.4401699761606514,0.3505698493985687,0.3014007816566619,0.41034482758620705,0.47471995428642544,1.9772053890885144
156,[Li]N1C=CCN([Li])c2ccccc21,0.6913358669668511,0.286631014170784,0.24543051703479293,0.1724137931034483,0.5566536620785026,1.9524648533543791
102,[Li]N1CC(C)N([Li])c2ccccc21,0.36107493059488194,0.6765363478616359,0.24506408933328575,0.13643178410794604,0.5283432925506978,1.9474504444484477
226,[Li]n1c(=O)n([Li])c2c(C)c(F)ccc21,0.24833454455815346,0.11896680239507543,0.8238335106283853,0.44464609800362975,0.304589364888892,1.9403703204741358
212,[Li]N(C)c1cccc2ccn([Li])c12,0.23511056531951793,0.30786402950966624,0.6546349970628127,0.1724137931034483,0.5566536620785026,1.9266770470739476
342,[Li]n1c(=O)n([Li])c2cc(C(C)=O)c(C)cc21,0.4317973047850153,0.36141911560694845,0.8478577140762187,0.1206896551724138,0.06707500328541355,1.8288387929260097
45,[Li]N1CCCN([Li])c2ccccc21,0.37324134776898027,0.45436862505595627,0.25377855065094196,0.13643178410794604,0.5283432925506978,1.7461636001345222
179,[Li]N1CN([Li])c2c(C)cccc21,0.37745751310498543,0.19735059016710435,0.1950485882298779,0.19310344827586212,0.7415218029519506,1.7044819427297804
63,[Li]N1CCN([Li])c2c(C)cccc21,0.441981254220217,0.2578970084513335,0.2504184462297099,0.13643178410794604,0.5283432925506978,1.6150717855599042
153,[Li]N1C[C@@H](C)N([Li])c2ccccc21,0.24286110059534907,0.38616252934148054,0.24314170181215478,0.13643178410794604,0.5283432925506978,1.5369404084076281
154,[Li]N1C[C@H](C)N([Li])c2ccccc21,0.15761196875938632,0.4312719004173532,0.245981620955871,0.13643178410794604,0.5283432925506978,1.4996405667912542
468,[Li]N1CC(C)(C)N([Li])c2cc(F)c(F)cc21,0.3934221409383575,0.37839917418215063,0.25286477940304264,0.42705570291777195,0.0,1.4517417974413227
554,[Li]N1CCN([Li])c2c(C)cc(F)cc21,0.1547392140537902,0.40986688947314553,0.2465807741186502,0.32533733133433285,0.30409619037297175,1.4406203993528905
180,[Li]N1C(=O)[C@H](C)N([Li])c2cc(C)ccc21,0.1950121899541699,0.07758534717509838,0.5502712066371386,0.10620689655172416,0.19779631708125697,1.126871957399388
264,[Li]N(C)c1cccc(F)c1N([Li])C(=O)C=C,0.22180418347981795,0.17386874218504994,0.4057098377264143,0.28,0.032885385815545225,1.1142681492068274
490,[Li]N1CC(C)C(=O)N([Li])c2cccc(F)c21,0.11114182108092334,0.017743330486028577,0.6675982648786956,0.28,0.032885385815545225,1.1093688022611925
518,[Li]N1CC(C)C(C)N([Li])c2cccc(F)c21,0.0,0.0,0.39873851936456833,0.2080856123662307,0.0325173355868033,0.6393414673176022
