molecule,SMILES,precursor_scscore,scscore,anode_limit,element_friendliness,capacity(mAh/g)
205,[Li]n1c(=O)n([Li])c2c(CF)cccc21,2.1665877674156517,1.792686147871187,4.264539240295729,0.15789473684210525,301.15048848793737
210,[Li]n1c(=S)n([Li])c2c(F)c(F)ccc21,2.5984121084142586,2.498103823865513,4.4590074687757255,0.25,270.6920965762078
226,[Li]n1c(=O)n([Li])c2c(C)c(F)ccc21,2.2415930800000217,1.957595252089269,4.186664055811422,0.15789473684210525,301.1504884879374
22,[Li]n1c(=O)c(=O)n([Li])c2cc(C)ccc21,2.8034326355628654,2.726902709450357,4.440121338549972,0.09523809523809523,285.1033078483474
233,[Li]n1c(=O)n([Li])c2cc(CF)ccc21,2.1188023000536234,2.11954090422277,4.217916444783784,0.15789473684210525,301.1504884879374
244,[Li]n1c(=O)n([Li])c2c(F)c(F)ccc21,2.54929273089412,2.396916220137713,4.205570594650634,0.25,294.5924428032745
24,[Li]n1c(=O)n([Li])c2cc(Cl)ccc21,2.7760969721285536,2.6645714187704312,4.267585565892436,0.0625,297.09841069283345
256,[Li]n1c(=O)n([Li])c2cc(F)c(C)cc21,2.687510291225812,2.294012439556031,4.146814198580881,0.15789473684210525,301.15048848793737
257,[Li]n1c2cc(F)c(C)c(F)c2n1[Li],2.4002632527130086,1.9310526514233168,2.898879231485299,0.23529411764705882,319.1118571384164
25,[Li]n1c(=S)n([Li])c2cc(C)ccc21,2.8611971664235476,2.497786702859572,4.316383919520288,0.10526315789473684,304.4373398549174
26,[Li]n1c(=S)n([Li])c2c(C)cccc21,2.806088093084736,2.439526551024345,4.337855140694028,0.10526315789473684,304.4373398549174
276,[Li]n1c(=O)n([Li])c2c(F)cc(S)cc21,2.131388435497124,2.163873399529919,4.150114951547373,0.1764705882352941,273.4409755693947
279,[Li]n1c(=S)n([Li])c2c(F)ccc(C)c21,2.8176440776029716,2.7252643428328955,4.30754699020628,0.15789473684210525,276.2192144382788
27,[Li]n1c(=O)n([Li])c2cc(OC)ccc21,2.7415018839711287,2.9540743804501277,4.120194564698343,0.1,304.55667278936033
283,[Li]n1c(=O)n([Li])c2c(F)cc(C)cc21,2.300943481686697,2.2006812247457015,4.121980998600272,0.15789473684210525,301.15048848793737
284,[Li]n1c(=O)n([Li])c2c(C)cc(F)cc21,2.05814320511504,2.1915719192390704,4.165806453595078,0.15789473684210525,301.1504884879374
30,[Li]n1c(=O)c(=O)n([Li])c2ccccc21,3.055205898182952,3.1308602991411747,4.5084112779186825,0.1111111111111111,308.08504551996447
335,[Li]n1c(=S)n([Li])c2c(C)c(C)ccc21,2.6329319168689738,2.09840842535935,4.301246171166408,0.09090909090909091,281.976747583766
33,[Li]n1c(=O)n([Li])c2cc(C)ccc21,2.724096205752748,2.8029979630489095,4.130058727522197,0.10526315789473684,335.0045373153395
